,0k2cq,0tsou,2zt0y,306fp,36mab,4718r,4snwv,4x99y,6062q,6xiit,75581,7nrit,7tb58,95saa,97vve,9fwxw,9h24q,9n6v4,9njqe,a9qsd,aewa7,b4bxs,brhrx,d2tzi,edf28,h2aeg,hktsr,i5rpt,ickpq,ijhu4,m2k0x,npuga,o1ojm,o6p8o,o7hgm,otwp4,rcql6,rpwiz,t0nen,t2ukq,t3l4h,tx96a,u0fbt,u5ghe,wcnoy,wpok6,wvk2n,xqhhy,y2i17,ydda7
4rfic,0.4,0.0,0.0,0.0,0.7,0.8,0.1,0.2,0.2,0.0,0.1,0.1,0.2,0.7,0.2,0.1,0.0,0.0,0.2,0.0,0.0,0.1,0.2,0.0,0.1,0.0,0.4,0.1,0.1,0.3,0.4,0.2,0.5,0.2,0.3,0.0,0.8,0.0,0.1,0.0,0.1,0.4,0.5,0.0,0.0,0.0,0.1,0.0,0.2,0.1
4zpwx,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.5,0.2,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.3,0.5,0.3,0.3,0.2,0.2,0.2,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.4,0.3,0.5,0.0,0.0,0.1,0.1,0.1,0.4,0.0
590sb,0.3,0.3,0.2,0.4,0.8,0.0,0.1,0.4,0.4,0.0,0.0,0.1,0.3,0.6,0.4,0.7,0.1,0.0,0.3,0.6,0.3,0.1,0.0,0.4,0.0,0.5,0.6,0.5,0.2,0.5,0.6,0.2,0.7,0.3,0.9,0.4,0.0,0.4,0.8,0.3,0.6,0.0,0.4,0.3,0.4,0.5,0.3,0.2,0.2,0.4
5xqef,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6e87d,0.1,0.0,0.0,0.1,0.4,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.3,0.0,0.1,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.1,0.1,0.0,0.0,0.1,0.0,0.2,0.0,0.1,0.0,0.1,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.0
6fdzg,0.1,0.0,0.0,0.7,0.0,0.3,0.1,0.0,0.2,0.0,0.1,0.0,0.2,0.2,0.0,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.2,0.1,0.1,0.2,0.3,0.0,0.3,0.2,0.2,0.3,0.0,0.6,0.1,0.2,0.1,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.1,0.0,0.0,0.1,0.0
6nzye,0.0,0.4,0.2,0.6,0.2,0.2,0.8,0.0,0.2,0.0,0.3,0.0,0.6,0.0,0.6,0.3,0.0,0.0,0.0,0.2,0.7,0.5,0.7,0.6,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.1,0.6,0.1,0.8,0.4,0.5,0.5,0.2,0.6,0.5,0.8,0.8,0.2,0.4,0.4,0.5,0.3,0.4,0.4
6sffc,0.5,0.6,0.3,0.2,0.3,0.7,0.7,0.3,0.5,0.3,0.4,0.7,1.0,0.8,0.7,1.0,0.0,0.0,0.6,0.5,0.9,0.3,0.6,1.0,0.0,0.5,0.5,1.0,0.6,0.8,0.0,0.3,0.2,0.2,0.8,0.8,0.6,0.0,0.3,0.1,0.6,0.0,0.0,0.4,0.4,0.2,0.0,0.3,0.9,0.7
6ziq7,0.0,0.0,0.5,0.3,0.7,0.0,0.2,0.2,0.0,0.3,1.0,0.6,0.4,0.8,0.6,0.7,0.4,0.0,0.9,0.0,0.3,0.1,0.3,0.4,0.4,0.4,0.0,0.4,0.1,0.8,0.6,0.4,0.5,0.8,0.9,0.4,1.0,0.4,1.0,0.5,0.4,0.3,0.6,0.6,0.2,0.6,0.4,0.5,0.5,0.2
89jk4,0.4,0.7,0.5,1.0,0.6,0.5,0.4,0.6,0.0,0.3,0.9,0.5,0.6,0.2,0.7,1.0,0.5,0.8,0.9,0.4,0.7,0.3,0.9,1.0,0.6,0.0,0.3,0.8,0.3,0.6,0.6,0.3,0.8,0.4,0.0,0.2,0.5,0.0,0.0,0.8,0.0,0.7,0.5,0.5,1.0,0.0,0.9,0.4,0.7,0.4
8cnav,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.2,0.1,0.0,0.1,0.0,0.2,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.1,0.1,0.0,0.5,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.0,0.0,0.0,0.0,0.1,0.0,0.0
8kf0k,0.8,0.0,0.2,0.4,0.6,0.0,0.0,0.1,1.0,0.5,0.9,0.0,0.8,0.8,0.3,0.8,0.2,0.2,0.9,0.8,0.8,0.8,0.7,0.7,0.2,0.3,0.8,0.8,0.4,0.9,0.7,0.5,0.7,0.8,1.0,0.9,0.7,0.7,0.5,0.3,0.0,0.8,1.0,0.0,0.3,0.4,0.4,0.3,0.0,0.9
8nq32,0.3,0.0,0.1,0.1,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.4,0.2,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.2,0.3,0.0,0.0,0.0,0.2,0.0,0.1,0.2,0.1,0.3,0.0,0.3,0.1,0.5,0.2,0.0,0.0,0.1,0.4,0.0,0.0,0.2,0.1,0.0,0.1,0.1,0.0
98p1u,0.0,0.6,0.2,0.0,0.0,1.0,0.0,0.2,0.0,0.3,0.4,0.5,0.9,1.0,0.4,0.7,0.0,0.5,0.0,0.7,0.6,1.0,0.8,0.6,0.2,0.3,0.5,0.8,1.0,0.6,0.8,0.4,0.4,0.5,0.9,0.9,0.4,0.6,0.3,0.5,0.0,0.6,0.8,0.0,0.3,0.3,0.6,0.3,0.9,0.0
9byse,0.0,0.0,0.0,0.5,0.8,0.3,0.1,0.0,0.3,0.1,1.0,0.7,0.4,0.4,0.6,0.8,0.8,0.0,0.7,0.5,0.6,0.0,0.0,0.4,0.7,0.4,0.5,0.3,0.2,0.9,0.6,0.4,0.4,0.6,0.8,0.2,0.9,0.2,1.0,0.6,0.0,0.4,0.0,0.5,0.8,0.8,0.5,0.4,0.1,0.1
9et5y,0.2,0.0,0.0,0.1,0.2,0.4,0.4,0.0,0.4,0.0,0.0,0.2,0.2,0.3,0.1,0.6,0.0,0.0,0.3,0.1,0.5,0.1,0.1,0.0,0.0,0.0,0.1,0.3,0.1,0.4,0.2,0.2,0.0,0.0,0.2,0.1,0.4,0.0,0.0,0.0,0.3,0.3,0.8,0.0,0.0,0.0,0.0,0.1,0.7,0.0
9n8a2,0.1,0.0,0.3,0.1,0.5,0.5,0.2,0.0,0.5,0.0,0.5,0.0,0.7,0.0,0.4,0.0,0.3,0.0,0.0,0.3,0.8,0.1,0.2,0.7,0.1,0.2,0.4,0.3,0.0,0.8,0.1,0.4,0.1,0.3,0.5,0.4,0.4,0.0,0.3,0.2,0.4,0.3,1.0,0.1,0.5,0.2,0.3,0.2,0.8,0.5
9qnd4,0.1,0.0,0.0,0.0,0.3,0.5,0.1,0.1,0.2,0.1,0.3,0.3,0.0,0.2,0.1,0.7,0.1,0.0,0.2,0.0,0.1,0.0,0.2,0.3,0.1,0.1,0.1,0.1,0.0,0.5,0.2,0.2,0.1,0.1,0.2,0.3,0.3,0.0,0.0,0.0,0.0,0.1,0.5,0.0,0.1,0.1,0.0,0.0,0.2,0.0
bf05n,0.1,0.3,0.6,0.1,0.6,0.3,0.2,0.2,0.2,0.0,0.7,0.1,0.1,0.8,0.0,0.3,0.1,0.2,0.3,0.0,0.2,0.0,0.1,0.1,0.2,0.1,0.0,0.1,0.1,0.6,0.7,0.2,0.0,0.0,0.6,0.2,0.9,0.2,0.7,0.2,0.1,0.4,0.4,0.4,0.1,0.1,0.1,0.2,0.3,0.1
bpp19,0.7,0.0,0.0,0.7,0.0,0.2,0.0,0.2,0.3,0.1,0.1,0.0,0.6,0.6,0.3,0.3,0.0,0.1,0.0,0.1,0.6,0.3,0.6,0.7,0.2,0.0,0.1,0.7,0.0,0.1,0.1,0.1,0.4,0.0,0.5,0.2,0.2,0.4,0.0,0.1,0.4,0.6,0.9,0.0,0.1,0.3,0.0,0.1,0.5,0.2
btgs5,0.1,0.5,0.4,0.0,0.0,0.3,0.2,0.2,0.5,0.0,0.5,0.7,0.6,0.2,0.3,0.9,0.0,0.8,0.8,0.5,0.9,0.2,0.3,0.9,0.3,0.4,0.1,0.0,0.2,0.0,0.0,0.2,0.3,0.4,0.8,0.1,0.5,0.3,0.6,0.2,0.4,0.3,0.8,0.1,0.6,0.9,0.0,0.5,0.6,0.4
c562q,0.0,0.0,0.0,0.1,0.3,0.2,0.0,0.1,0.1,0.1,0.0,0.4,0.3,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.3,0.0,0.1,0.4,0.1,0.2,0.0,0.1,0.1,0.6,0.0,0.2,0.1,0.0,0.4,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0
cl746,0.0,0.0,0.5,0.5,0.6,0.0,0.0,0.3,0.0,0.1,0.3,0.2,0.2,0.0,0.2,0.7,0.5,0.0,0.1,0.3,0.1,0.0,0.0,0.2,0.2,0.0,0.1,0.0,0.1,0.3,0.0,0.0,0.3,0.2,0.0,0.0,0.5,0.0,0.6,0.1,0.0,0.0,0.1,0.1,0.6,0.7,0.4,0.3,0.0,0.0
d46yq,0.4,0.0,0.0,0.0,0.5,0.9,0.3,0.2,0.6,0.0,0.1,0.0,0.0,0.5,0.2,0.5,0.0,0.1,0.0,0.0,0.3,0.3,0.2,0.3,0.0,0.1,0.3,0.4,0.3,0.3,0.3,0.3,0.2,0.1,0.4,0.7,0.3,0.0,0.0,0.0,0.2,0.4,0.9,0.0,0.0,0.0,0.2,0.0,0.6,0.0
dbgra,0.1,0.6,1.0,0.8,0.9,0.0,0.1,0.0,0.0,0.1,0.9,0.3,0.6,0.7,0.0,0.7,0.6,0.0,0.6,0.6,0.5,0.2,0.3,0.4,0.7,0.5,0.7,0.5,0.3,0.5,0.6,0.4,0.6,0.7,1.0,0.3,1.0,0.3,0.0,0.4,0.3,0.4,0.2,0.4,0.6,0.7,0.0,0.4,0.2,0.0
dveio,0.1,0.6,0.8,0.7,1.0,0.2,0.1,0.7,0.2,0.5,0.9,0.7,0.6,0.4,0.8,0.9,0.0,1.0,0.0,0.6,0.8,0.0,0.3,0.8,0.8,1.0,0.4,0.2,0.3,0.8,0.0,0.0,0.7,0.5,0.8,0.1,0.0,0.0,1.0,0.8,0.4,0.1,0.2,0.7,0.0,1.0,0.0,0.7,0.4,0.2
ec4my,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.1,0.1,0.4,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr80y,1.0,0.7,0.2,0.7,0.3,0.6,0.9,0.5,0.7,0.4,0.0,0.3,1.0,0.9,0.7,0.5,0.1,0.2,0.3,0.4,0.8,0.0,1.0,0.8,0.5,0.5,0.8,1.0,0.0,0.5,0.8,0.2,0.8,0.4,0.9,0.0,0.5,0.9,0.4,0.0,1.0,0.0,1.0,0.8,0.5,0.3,0.5,0.2,1.0,1.0
g7vsh,0.0,0.1,0.1,0.3,0.1,0.3,0.2,0.3,0.2,0.1,0.2,0.0,0.7,0.4,0.4,0.5,0.0,0.0,0.0,0.1,0.5,0.0,0.4,0.8,0.1,0.0,0.2,0.6,0.3,0.0,0.3,0.1,0.3,0.0,0.5,0.0,0.4,0.0,0.1,0.1,0.3,0.5,0.3,0.2,0.5,0.2,0.0,0.2,0.2,0.0
g9iio,0.1,0.3,0.0,0.4,0.3,0.7,0.4,0.1,0.0,0.0,0.1,0.1,0.4,0.6,0.3,0.7,0.0,0.0,0.3,0.0,0.4,0.1,0.4,0.5,0.0,0.1,0.2,0.4,0.3,0.0,0.6,0.2,0.5,0.0,0.3,0.4,0.5,0.2,0.2,0.0,0.0,0.6,0.6,0.0,0.2,0.2,0.0,0.2,0.3,0.1
glywi,0.2,0.0,0.3,0.3,0.7,0.1,0.2,0.3,0.0,0.0,0.0,0.1,0.3,0.7,0.5,0.4,0.0,0.0,0.0,0.4,0.3,0.0,0.2,0.1,0.2,0.1,0.7,0.1,0.0,0.4,0.3,0.3,0.6,0.3,0.7,0.1,0.7,0.3,0.0,0.2,0.0,0.5,0.5,0.1,0.2,0.0,0.3,0.1,0.1,0.0
gm5cd,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h66nj,0.1,0.0,0.3,0.6,0.1,0.2,0.0,0.2,0.3,0.1,0.4,0.4,0.4,0.0,0.2,0.9,0.1,0.1,0.3,0.1,0.0,0.1,0.5,1.0,0.6,0.6,0.0,0.6,0.0,0.3,0.1,0.1,0.4,0.2,0.6,0.0,0.2,0.3,0.3,0.3,0.7,0.4,0.3,0.0,0.0,0.7,0.5,0.2,0.3,0.0
hl1nv,0.0,0.0,0.0,0.1,0.8,0.3,0.1,0.1,0.2,0.0,0.0,0.6,0.4,0.2,0.2,0.9,0.0,0.0,0.5,0.5,0.3,0.0,0.1,0.1,0.0,0.2,0.2,0.0,0.1,0.8,0.2,0.3,0.2,0.2,0.4,0.0,0.0,0.0,0.3,0.0,0.1,0.1,0.8,0.2,0.1,0.1,0.1,0.2,0.0,0.0
hqqmp,0.0,0.0,0.0,0.0,0.5,0.3,0.1,0.0,0.3,0.0,0.1,0.6,0.3,0.1,0.0,0.7,0.0,0.0,0.2,0.1,0.3,0.0,0.0,0.2,0.0,0.2,0.1,0.0,0.0,0.8,0.0,0.2,0.0,0.2,0.2,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.6,0.0,0.1,0.0,0.0,0.1,0.0,0.0
huab7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hwj0l,0.6,0.0,0.0,0.7,0.3,0.0,0.5,0.0,0.7,0.1,0.3,0.2,0.4,0.0,0.5,0.7,0.1,0.1,0.0,0.0,0.6,0.3,0.7,0.6,0.2,0.1,0.2,0.5,0.0,0.4,0.4,0.2,0.6,0.1,0.0,0.2,0.3,0.4,0.1,0.2,0.0,0.0,0.6,0.1,0.2,0.0,0.3,0.1,0.6,0.4
i5y9g,0.6,0.3,0.6,0.0,0.4,0.5,0.2,0.0,0.4,0.0,0.8,0.1,0.0,0.8,0.8,0.0,0.0,0.1,0.1,0.5,0.3,0.2,0.9,0.3,0.3,0.3,0.8,0.7,0.6,0.3,0.0,0.1,1.0,0.6,0.8,0.0,0.7,0.6,0.5,0.0,0.6,0.8,0.3,0.6,0.5,0.2,0.3,0.2,0.1,0.4
ijem1,0.8,0.3,0.3,0.4,0.7,0.9,0.8,0.5,0.8,0.2,0.5,0.4,0.8,0.9,0.5,0.2,0.1,0.3,0.4,0.0,0.0,0.8,0.6,0.1,0.2,0.4,0.0,0.7,0.8,0.4,0.9,0.3,0.0,0.0,0.8,0.9,0.9,0.4,0.5,0.5,0.0,0.7,0.9,0.0,0.2,0.3,0.3,0.0,0.9,0.0
j5bl0,0.0,0.6,0.8,0.8,0.8,0.1,0.2,0.0,0.0,0.2,0.9,0.5,0.4,0.2,0.8,1.0,1.0,0.0,0.0,0.0,0.4,0.1,0.4,0.0,0.5,0.0,0.3,0.1,0.1,0.7,0.4,0.4,0.7,0.5,0.6,0.0,0.9,0.6,0.8,0.9,0.0,0.3,0.3,0.6,0.8,1.0,0.7,0.7,0.4,0.2
kcec9,0.8,0.8,0.5,0.0,0.8,0.6,0.3,0.6,0.2,0.0,0.8,0.0,0.7,1.0,0.0,0.2,0.2,0.2,0.4,0.8,0.2,0.4,0.8,0.2,0.4,0.0,0.0,0.5,0.9,0.3,0.9,0.2,1.0,0.8,0.8,0.6,0.9,0.5,0.8,0.0,0.6,0.9,0.0,0.0,0.5,0.5,0.6,0.0,0.5,0.6
laupf,0.4,0.7,0.6,0.6,0.8,0.6,0.3,0.4,0.4,0.1,0.9,0.0,0.6,0.8,0.7,0.7,0.1,0.3,0.7,0.6,0.8,0.2,0.7,0.0,0.5,0.5,0.9,0.0,0.0,0.8,0.7,0.3,0.7,0.0,1.0,0.5,1.0,0.4,1.0,0.0,0.7,0.7,0.7,0.7,0.5,0.4,0.5,0.3,0.7,0.5
ld3yg,0.0,0.0,0.1,0.1,0.9,0.4,0.2,0.2,0.2,0.0,0.1,0.0,0.4,0.0,0.2,0.1,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.0,0.4,0.0,0.3,0.2,0.3,0.5,0.4,0.4,0.7,0.1,0.3,0.1,0.0,0.3,0.5,0.3,0.0,0.0,0.1,0.0,0.2,0.0
lqha2,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.3,0.6,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.3,0.2,0.1,0.1,0.0,0.3,0.3,0.2,0.0,0.0,0.0,0.1,0.0,0.7,0.0,0.0,0.0,0.1,0.0,0.1,0.0
lu9zm,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
me9oo,0.1,0.0,0.3,0.3,0.3,0.1,0.2,0.5,0.0,0.2,0.1,0.1,0.6,0.0,0.0,0.3,0.1,0.0,0.0,0.1,0.3,0.0,0.3,0.0,0.3,0.0,0.2,0.2,0.3,0.1,0.2,0.0,0.6,0.0,0.3,0.1,0.4,0.0,0.1,0.3,0.4,0.3,0.2,0.2,0.4,0.2,0.3,0.1,0.2,0.0
mevw2,0.3,0.5,0.2,0.3,0.6,0.9,0.5,0.4,0.7,0.0,0.4,0.5,0.3,0.6,0.3,0.8,0.0,0.1,0.0,0.3,0.0,0.3,0.3,0.5,0.5,0.1,0.4,0.0,0.1,0.7,0.7,0.3,0.2,0.0,0.7,0.5,0.6,0.2,0.0,0.1,0.5,0.5,0.8,0.0,0.2,0.2,0.3,0.5,0.6,0.3
mkea7,0.0,0.6,0.9,0.8,0.4,0.0,0.1,0.0,0.1,0.1,0.0,0.2,0.7,0.2,0.9,0.7,0.7,0.5,0.3,0.4,0.6,0.0,0.7,0.0,0.8,0.0,0.3,0.5,0.3,0.2,0.3,0.1,0.8,0.2,0.8,0.0,0.7,0.7,0.0,0.0,0.4,0.5,0.1,0.5,0.9,0.0,0.9,0.7,0.3,0.1
mw4eg,0.3,0.4,0.1,0.4,0.3,0.6,0.5,0.1,0.5,0.0,0.3,0.8,0.6,0.3,0.2,1.0,0.0,0.0,0.5,0.1,1.0,0.1,0.5,0.9,0.0,0.4,0.0,0.7,0.1,0.8,0.2,0.2,0.1,0.2,0.7,0.4,0.3,0.5,0.2,0.1,0.6,0.0,1.0,0.1,0.4,0.5,0.4,0.1,0.7,0.4
